england,antrim,derriaghy,"54.54248293701274, -6.020736641256021"
northern ireland,antrim,aghalee,"54.52234487921821, -6.265926439679915"
northern ireland,antrim,antrim,"54.71933188642502, -6.207646075583488"
northern ireland,antrim,balleymoney,"55.07052663415548, -6.516731401867549"
northern ireland,antrim,ballycastle,"55.20540425826463, -6.253935876605668"
northern ireland,antrim,ballyclare,"54.75308508340059, -6.002059631873228"
northern ireland,antrim,ballycraigy,"54.707279474326974, -6.191267550812214"
northern ireland,antrim,ballyduff,"54.688562089413246, -5.935900326333503"
northern ireland,antrim,ballyhill,"54.63880614584692, -6.09197098251028"
northern ireland,antrim,ballymena,"54.865617792288916, -6.280142496350787"
northern ireland,antrim,ballymoney,"55.070575778121686, -6.517933031187395"
northern ireland,antrim,carnaghliss,"54.625631863059304, -6.096824833205118"
northern ireland,antrim,carnlough,"54.99036282263774, -5.993068119700721"
northern ireland,antrim,carrickfergus,"54.72666728562941, -5.810391980366248"
northern ireland,antrim,cloughmills,"54.99911311947341, -6.332534734795879"
northern ireland,antrim,crumlin,"54.62038005722043, -6.215775370260177"
northern ireland,antrim,cushendall,"55.07959115409805, -6.057538870806022"
northern ireland,antrim,dundrod,"54.614201385285156, -6.1212163224039315"
northern ireland,antrim,dunmurry,"54.549678488724425, -6.005141918991273"
northern ireland,antrim,glengormley,"54.68004830850357, -5.960351209638296"
northern ireland,antrim,greenisland,"54.69254508405256, -5.863540611502944"
northern ireland,antrim,jordanstown,"54.68039585090552, -5.892274950790133"
northern ireland,antrim,larne,"54.85784935018273, -5.82445422581756"
northern ireland,antrim,lisburn,"54.516729272683676, -6.056115458777035"
northern ireland,antrim,lurgan,"54.463445156525154, -6.335234628938019"
northern ireland,antrim,mallusk,"54.67989290094629, -6.0039183050533875"
northern ireland,antrim,monkstown,"54.68741605675452, -5.895246421870619"
northern ireland,antrim,newtownabbey,"54.66320718906224, -5.9136531041986204"
northern ireland,antrim,rasharkin,"54.95679679094369, -6.482717839893683"
northern ireland,antrim,rathcoole,"54.66038992644741, -5.9143477524582"
northern ireland,antrim,templepatrick,"54.70459034934657, -6.091737241842832"
northern ireland,antrim,toome,"54.75366510842637, -6.461975288320999"
northern ireland,antrim,whiteabbey,"54.66869636338086, -5.902848173445157"
england,armagh,blackwatertown,"54.41278472376852, -6.702768002282102"
